,model,dataset,n_topics,duration,Diversity,Coherence,Centroid Word Embedding Coherence
37,KeyBert,20 Newsgroups Clean,30,577.7638731002808,0.8066666666666666,0.1376067376861759,0.7767867939892814
38,KeyBert,20 Newsgroups Clean,40,597.7831511497498,0.7675,0.1365148719210891,0.7764164892245715
39,KeyBert,20 Newsgroups Clean,50,583.6659564971924,0.744,0.1250270802759802,0.7740276603873245
40,KeyBert,20 Newsgroups Dirty,10,1317.2300279140472,0.93,0.1802811361140878,0.7109964730497547
41,KeyBert,20 Newsgroups Dirty,20,1255.3527343273165,0.93,0.1647082201008549,0.6288971405366703
42,KeyBert,20 Newsgroups Dirty,30,1235.6336426734924,0.8666666666666667,0.1539371723654608,0.6630391381819847
43,KeyBert,20 Newsgroups Dirty,40,1238.121624469757,0.8425,0.1448334876283975,0.6247768204167561
44,KeyBert,20 Newsgroups Dirty,50,1232.079326629639,0.822,0.1356037113656876,0.6311587425810419
45,BERTopic,BBC News,10,34.26391792297363,0.7555555555555555,0.0181298853253748,0.848688838293747
46,BERTopic,BBC News,20,18.8437294960022,0.7210526315789474,0.1085179042032946,0.7836634097681283
47,BERTopic,BBC News,30,19.10669589042664,0.7206896551724138,0.1188005606301706,0.7995839272802118
48,BERTopic,BBC News,40,26.87717604637146,0.6923076923076923,0.1277662604676391,0.8057190861916972
49,BERTopic,BBC News,50,28.01785182952881,0.6775510204081633,0.1354723325109932,0.7959156970387312
50,BERTopic,20 Newsgroups Clean,10,88.30594420433044,0.0555555555555555,0.0737449673777902,0.3800878222969527
51,BERTopic,20 Newsgroups Clean,20,40.88078236579895,0.7368421052631579,0.0527123477378416,0.7877547979561081
52,BERTopic,20 Newsgroups Clean,30,69.27613496780396,0.7620689655172413,0.0450834053020127,0.834298974129603
53,BERTopic,20 Newsgroups Clean,40,43.412357568740845,0.7769230769230769,0.0811717134861635,0.802651335263945
54,BERTopic,20 Newsgroups Clean,50,71.27331376075745,0.763265306122449,0.0857296892918201,0.7867133863378324
55,BERTopic,20 Newsgroups Dirty,10,169.2774691581726,0.2555555555555555,-0.0212574502077066,0.5724750130334096
56,BERTopic,20 Newsgroups Dirty,20,150.82456994056702,0.4631578947368421,0.000907958310402,0.6501580422252261
57,BERTopic,20 Newsgroups Dirty,30,155.81601858139038,0.4310344827586206,0.008976090065451,0.6386355090152712
58,BERTopic,20 Newsgroups Dirty,40,143.60325956344604,0.5282051282051282,0.0143414926693472,0.6731491084952577
59,BERTopic,20 Newsgroups Dirty,50,147.58475732803345,0.5673469387755102,0.017870692365165,0.6720287970586303
60,ZeroShotTM,BBC News,10,116.72609877586363,0.96,0.0787124020482541,0.7571889306081874
61,ZeroShotTM,BBC News,20,114.85324025154114,0.795,0.0812899979400818,0.8065270053773933
62,ZeroShotTM,BBC News,30,115.32692790031432,0.7166666666666667,0.0773715807125575,0.7749214139234195
63,ZeroShotTM,BBC News,40,115.56171345710754,0.665,0.0952772872270688,0.7610229801917969
64,ZeroShotTM,BBC News,50,115.89704847335815,0.556,0.0855372462333799,0.7686751812864884
65,ZeroShotTM,20 Newsgroups Clean,10,294.2282392978668,0.96,0.077210934715835,0.741809004585025
66,ZeroShotTM,20 Newsgroups Clean,20,294.1915810108185,0.935,0.1230327435231325,0.7522132777121383
67,ZeroShotTM,20 Newsgroups Clean,30,294.3173830509186,0.8966666666666666,0.1015354979039281,0.7742477521503328
68,ZeroShotTM,20 Newsgroups Clean,40,291.568430185318,0.85,0.1151160172911439,0.7532460395618351
69,ZeroShotTM,20 Newsgroups Clean,50,295.30534386634827,0.826,0.1020158503731107,0.7895428435849334
70,ZeroShotTM,20 Newsgroups Dirty,10,442.5069053173065,0.93,-0.0271341138128963,0.6741430349962348
71,ZeroShotTM,20 Newsgroups Dirty,20,443.6184301376343,0.8,-0.0536310685009392,0.6719351798533073
72,ZeroShotTM,20 Newsgroups Dirty,30,446.4339344501496,0.8066666666666666,-0.039103289613771,0.6997006412682955
73,ZeroShotTM,20 Newsgroups Dirty,40,446.263445854187,0.7725,-0.0097446237324322,0.6983376767004021
74,ZeroShotTM,20 Newsgroups Dirty,50,449.8240647315979,0.764,-0.0086368652175813,0.7139584547287116
75,Top2Vec,BBC News,10,22.11952114105225,0.6565217391304348,-0.0855501590313049,0.6913743274116708
76,Top2Vec,BBC News,20,16.490269422531128,0.6846153846153846,-0.0993886754590782,0.6689821440185503
77,Top2Vec,BBC News,30,17.0251042842865,0.6363636363636364,-0.1092491679398273,0.7009509820134144
78,Top2Vec,BBC News,40,17.94249200820923,0.7242424242424242,-0.1050827532376248,0.6749654469601455
79,Top2Vec,BBC News,50,17.031267881393433,0.6575,-0.0848911801930884,0.6901423575668706
80,Top2Vec,20 Newsgroups Clean,10,52.81255269050598,0.4279411764705882,0.0557653782672799,0.7037841703883753
81,Top2Vec,20 Newsgroups Clean,20,36.08758854866028,0.44453125,0.0548835898095966,0.6875048254781377
82,Top2Vec,20 Newsgroups Clean,30,36.18055534362793,0.45,0.0450365777655567,0.7124821852735655
83,Top2Vec,20 Newsgroups Clean,40,36.67832732200623,0.44453125,0.0486261739517523,0.7013549839475748
84,Top2Vec,20 Newsgroups Clean,50,36.41220259666443,0.4818181818181818,0.0538615276620027,0.7131524404676466
85,Top2Vec,20 Newsgroups Dirty,10,93.28756070137024,0.5818941504178273,-0.1491337315247688,0.5540802979042775
86,Top2Vec,20 Newsgroups Dirty,20,91.8201186656952,0.5803977272727273,-0.149053973456098,0.5453780590727624
87,Top2Vec,20 Newsgroups Dirty,30,94.0933005809784,0.5899109792284867,-0.1496986621730248,0.5563595317079
88,Top2Vec,20 Newsgroups Dirty,40,92.98424315452576,0.5901785714285714,-0.1492999134785356,0.5473250166705326
89,Top2Vec,20 Newsgroups Dirty,50,95.48206973075868,0.5830028328611898,-0.1510473473242502,0.5602839219090227
90,GMM,BBC News,10,5.690538167953491,1.0,0.1917037348407602,0.7218146319281835
91,GMM,BBC News,20,6.088242292404175,0.925,0.1725929046443168,0.7570586223359799
92,GMM,BBC News,30,7.29162859916687,0.85,0.1623770532470577,0.7443345012487829
93,GMM,BBC News,40,8.220859289169312,0.81,0.1435832377848937,0.7820514062408036
94,GMM,BBC News,50,9.363072156906128,0.778,0.1519453560821103,0.7740349220628482
95,GMM,20 Newsgroups Clean,10,43.74428582191467,0.89,0.1230568335329449,0.710226121222772
96,GMM,20 Newsgroups Clean,20,33.81992316246033,0.86,0.1546931756177403,0.7453716865392579
97,GMM,20 Newsgroups Clean,30,38.992355823516846,0.8066666666666666,0.169828027435049,0.7039916680123629
98,GMM,20 Newsgroups Clean,40,40.58193206787109,0.7575,0.1611568728842726,0.7436181496158076
99,GMM,20 Newsgroups Clean,50,45.67008662223816,0.69,0.1583321607863018,0.7489579216071097
100,GMM,20 Newsgroups Dirty,10,75.23346304893494,0.97,0.0866025490198895,0.6886128699791048
101,GMM,20 Newsgroups Dirty,20,90.15497779846191,0.94,0.1245354318605429,0.664312690056903
102,GMM,20 Newsgroups Dirty,30,87.14607119560242,0.91,0.1271227221106095,0.6836928836007259
103,GMM,20 Newsgroups Dirty,40,93.6722333431244,0.895,0.1345944424453216,0.6225782138943644
104,GMM,20 Newsgroups Dirty,50,105.7229335308075,0.828,0.1281658037424091,0.6699217279619657
105,EigenModel,BBC News,10,14.751071453094482,0.92,-0.2988343117384157,0.8437030063896923
106,EigenModel,BBC News,20,5.664860725402832,0.895,-0.3696899848953187,0.8537908040283317
107,EigenModel,BBC News,30,5.766235828399658,0.8766666666666667,-0.37976014417077003,0.8516415778333914
108,EigenModel,BBC News,40,5.022945880889893,0.8625,-0.3899324405475272,0.8510061980785967
109,EigenModel,BBC News,50,5.263610601425171,0.836,-0.4062545274736561,0.8485135399307636
110,EigenModel,20 Newsgroups Clean,10,12.748314142227173,0.93,-0.10097364905959332,0.7777405262376943
111,EigenModel,20 Newsgroups Clean,20,12.772376537322998,0.84,-0.14991081884600055,0.7855026717456044
112,EigenModel,20 Newsgroups Clean,30,12.889185190200806,0.8233333333333334,-0.16642146699723204,0.8012761902024792
113,EigenModel,20 Newsgroups Clean,40,13.00359034538269,0.7925,-0.16795488374547735,0.8203910056690695
114,EigenModel,20 Newsgroups Clean,50,11.877079725265503,0.786,-0.18640899348170795,0.8314908684675842
115,EigenModel,20 Newsgroups Dirty,10,59.79284691810608,1.0,-0.2739193212973897,0.69605759915638
116,EigenModel,20 Newsgroups Dirty,20,62.66537046432495,0.985,-0.27673171210637526,0.6242739901052599
117,EigenModel,20 Newsgroups Dirty,30,63.77622961997986,0.97,-0.2777063766734718,0.6453401844998973
118,EigenModel,20 Newsgroups Dirty,40,63.051841497421265,0.9725,-0.28152109986236845,0.6225049033359521
119,EigenModel,20 Newsgroups Dirty,50,62.31846904754639,0.972,-0.28902955292152455,0.6412633533618514
